t1,T2,T5,T8,T10,t12,T13,T14,T3,T9
1/2024/0587 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 420 x 280 x 640 mm
Masse: 41,4 kg",RZ 6.KTD.SR 06.F 08.B 01,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0587-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0587-000-011.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0587-000-022.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1960,,
1/2024/0587 1,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 20 x 110 x 90 mm
Masse: 0,03 kg",RZ 6.KTD SR 06.F 01.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0587-001-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0587-001-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0587-001-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1960,,
1/2024/0588 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 345 x 370 x 500 mm
Masse: 24,9 kg",RZ 6.KTD.SR 06.F 09.B 01,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0588-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0588-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0588-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1960,,
1/2024/0588 1,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 210 x 230 x 345 mm
Masse: 4,4 kg",RZ 6.KTD.SR 06.F 08.B 02,,,,um 1960,,
1/2024/0589 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Masse: 15,15 kg
Objektmaß HxBxT: 295 x 245 x 460 mm",RZ 6.KTD.SR 06.F 01.B 03,,,,um 1965,,
1/2024/0590 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 295 x 245 x 455 mm
Masse: 14,95 kg",RZ 6.KTD.SR 06.F 01.B 03,,,,um 1965,,
1/2024/0591 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Masse: 14,6 kg
Objektmaß HxBxT: 295 x 245 x 455 mm",RZ 6.KTD.SR 06.F 01.B 03,,,,um 1965,,
1/2024/0592 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 450 x 290 x 600 mm
Masse: 46,8 kg",RZ 6.KTD.SR 06.F 01.B 02,,,,um 1958,,
1/2024/0592 1,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Masse: 1 kg
Objektmaß HxBxT: 55 x 292 x 145 mm",RZ 6.KTD.SR 06.F 01.B 02,,,,um 1960,,
1/2024/0593 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 450 x 304 x 626 mm
Masse: 48,1 kg",RZ 6.KTD.SR 06.F 01.B 02,,,,um 1955,,
1/2024/0595 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 430 x 304 x 618 mm
Masse: 31 kg",RZ 6.KTD.SR 06.F 01.B 02,,,,um 1960,,
1/2024/0596 0,"Fernseh AG/GmbH (Fese)
Hessischer Rundfunk - HR-Fernsehen","Objektmaß HxBxT: 400 x 270 x 553 mm
Masse: 27,45 kg",RZ 6.KTD.SR 06.F 09.B 01,,,,um 1952,,
1/2024/0597 0,"Fernseh AG/GmbH (Fese)
Hessischer Rundfunk - HR-Fernsehen, vermutlich","Objektmaß HxBxT: 410 x 340 x 690 mm
Masse: 41,2 kg",RZ 6.KTD.SR 06.F 09.B 01,,,,um 1955,,
1/2024/0598 0,"Fernseh AG/GmbH (Fese)
Stroekens Sammlung","Objektmaß HxBxT: 940 x 418 x 1147 mm
Masse: 60 kg",RZ 4.HR 22.F 00.E 01.PB,,,,um 1965,,
1/2024/0599 0,"W Vinten Ltd
Stroekens Sammlung","Masse: 160 kg
Ø Höhe: 887 mm",RZ 4.HR 22.F 00.E 02.PA,,,,um 1957,,
1/2024/0600 0,"Arnold & Richter KG / ARRI AG
unbekannt","Objektmaß HxBxT: 440 x 310 x 360 mm
Masse: 8,6 kg",RZ 6.KTD.SR 6.F 02.B 04,,,,um 1960,,
1/2024/0601 0,"Bernhard Deltschaft
Sender Freies Berlin (SFB)","Masse: 10,65 kg
Objektmaß HxBxT: 600 x 325 x 440 mm",RZ 6.KTD.SR 6.F 01.B 06,,,,um 1955,,
1/2024/0602 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 460 x 290 x 595 mm
Masse: 39,2 kg",RZ 6.KTD.SR 06.F 01.B 01,,,,um 1960,,
1/2024/0603 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 600 x 325 x 440 mm
Masse: 42,2 kg",RZ 6.KTD.SR 06.F 01.B 01,,,,um 1960,,
1/2024/0604 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Masse: 27,8 kg
Objektmaß HxBxT: 600 x 325 x 440 mm",RZ 6.KTD.SR 06.F 01.B 01,,,,1960,,
1/2024/0605 0,"Fernseh AG/GmbH (Fese)
Sender Freies Berlin (SFB)","Objektmaß HxBxT: 600 x 325 x 440 mm
Masse: 44,8 kg",RZ 6.KTD.SR 06.F 02.B 01,,,,um 1955,,
1/2024/0606 0,"Bernhard Deltschaft
unbekannt","Masse: 8,25 kg
Objektmaß HxBxT: 490 x 300 x 410 mm",RZ 6.KTD.SR 6.F 02.B 04,,,,um 1955,,
1/2024/0607 0,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)
Zweites Deutsches Fernsehen (ZDF)","Objektmaß HxBxT: 140 x 150 x 275 mm
Masse: 2,5 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
